error,in_original,in_import
different GUID,0zzou4R_11kPXaS0hC0pre,3EEhEzMx58FxJt4xCmkIek
different name,liftdeur,IfcDoor - liftdeur
different GUID,2RuuzaH1vFUwKXpU33GTyt,1NCSGiOkPD2uknNWs85lZv
different name,liftdeur,IfcDoor - liftdeur
different GUID,2uTeXyy8XDYvkI0uWy38WP,3hLgha6sb6HBJsC52QiXST
different name,D3L,IfcDoor - D3L
different GUID,012S6Z0qLCRuoYXSZ2tygw,2ZckTt$MrDm9LKXcdPcIdP
different name,merk A3,IfcDoor - merk A3
different GUID,38X2u$b_51PQbXrbF3UXq0,2An05Ivc9Fi9hPFkX1wuDV
different name,merk A6,IfcDoor - merk A6
different GUID,0MO3NBPw1FofnfwKUa2odt,0xMILty8j3NuWLG5ODSELF
different name,merk A5,IfcDoor - merk A5
different GUID,27b7kJ2C50Wxcp8woudHRw,3UnsetXRTCJOuc1WvIer$r
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0JzQ9ARmz4J9VOnJDh2nWI,3h0j9lIObCqhIFvQJ996Nk
different name,stelkozijn,IfcDoor - stelkozijn
